,botanical_name,common_name,family,plant_type,mature_size,sun_exposure,soil_type,soil_ph,bloom_time,flower_color,hardiness_zones,native_area
710, Nephrolepis biserrata," Macho fern, broad sword fern",, Perennial," 3-4 ft. tall, 6 ft. wide"," Partial, shade", Moist but well-draining, Acidic, N/A, N/A," 9a, 9b, 10a, 10b", North America
711,"Tillandsia Bergeri, Tillandsia Aeranthos Bergeri",Mad pupper,,"Succulent, perennial",Up to 10 in. tall,"Full sun, partial shade",,,Summer,Purple,"9 - 11, USA",South America
712,Pachypodium lamerei,,,Deciduous succulent (not related to true palms),"12 to 24 ft. tall, 10 to 12 ft. wide",Full sun,"Cactus compost, well-drained chalk, loam, or sand",Alkaline,Summer,"White, yellow, red, or pink","9-11, USDA",Southern Madagascar
713,Catharanthus roseus,,Apocynaceae,"Herbaceous perennial, usually grown as an annual","6-18 in. tall, similar spread","Full sun, part shade",Sandy loam,6.0-7.0,June to frost,"White, pink, mauve, red","9-11 (USDA), grown as an annual elsewhere",Madagascar
714,Lilium candidum,Madonna Lily,,Bulbous perennial,"4 to 6 ft. tall, 1 to 2 ft. wide",Full sun to part shade,"Rich, well-drained",Neutral,Spring to midsummer,White ,"5-9, USDA",Middle East
715,Magnoliaceae,Magnolia 'Jane',,Deciduous shrub,8 to 12 feet wide and 10 to 15 feet tall,Full sun to part shade,"Organically rich, medium moisture, sandy, silty, tolerates clay soil",Neutral to slightly acidic,Spring,Purple with white interior,4 to 8,United States
716,Mahonia Spp.,,Berberidaceae,Shrub,3 to 10 ft.,Partial shade,"Moist, Well-dained",Various,"Winter, Spring","Yellow, Red",Varies,"North & Central America, Asia"
717,Gingko biloba,"Gingko, maidenhair",Ginkgoaceae,Tree,"50-80 ft. tall, 30-40 ft. wide","Full, partial","Sandy, well-drained","Acidic, neutral, alkaline",Spring,Green,4-9 (USDA),China
718,Adiantum raddianum,"Maidenhair fern, Delta maidenhair fern",Pteridaceae,Fern,"1–2 ft. tall, 1–2 ft. wide","Partial sun, shade",Moist but well-drained,Neutral,Non-flowering,None,10-11 (USDA),North America
719,Ravenea rivularis,,Arecaceae,Tree,"10-100 ft.tall, 6–20 ft. wide",Partial,"Moist, well-drained",Acidic,,,10-11 (USDA),Africa
720,Basella alba,,Basellaceae,Vegetable,,Full sun,"Loamy, sandy, moist but well-drained",Neutral to acidic (6.5 to 6.8),,,"7-10, USA","Tropical south and southeast Asia, Indian subcontinent"
721,Syringa pubescens subsp. patula 'Miss Kim',"'Miss Kim' lilac, Manchurian lilac",,Flowering deciduous shrub,"4 –9 feet tall, 5–7 feet wide",Full sun,Loamy,Neutral to slightly alkaline (6.5–8.5),Spring to early summer,Lavender-purple,3–8 (USDA),"Eastern Asia (Korea, Manchuria)"
722,Mandevilla spp.,"Mandevilla, rocktrumpet",Apocynaceae,Vine,"3–10 ft. tall, 3–4 ft. wide","Full sun, partial shade",Moist but well-drained,Neutral to acidic,"Summer, fall","Pink, red, white","10–11, USA","North America, Central America, South America"
723,Mangifera indica,Mango,Anacardiaceae,"Fruit, tree",,Full sun,"Loamy, moist, well-drained","Acidic, neutral, alkaline (5.5 to 7.5)",Winter,,9–11 (USDA),Asia
724,Epipremnum aureum ‘HANSOTI14’,"Manjula pothos, happy leaf pothos, HANSOTI14, jewel pothos",Araceae,"Perennial, vine","6 ft long, 3 ft wide (indoors)",Partial,"Loamy, moist but well-drained",Acidic,,,"11a, 11b, 12a, 12b",Australia 
725,Leptospermum scoparium,"New Zealand tea tree, broom tea tree, tea tree, manuka, manuka myrtle",,Evergreen shrub,6 to 10 feet in height and spread,Full sun,"Rich, medium moisture, well-draining",Acidic,June to July,"White, pink, red",9 to 10,"New Zealand, Australia"
726,Epipremnum aureum 'Marble Queen' ,Marble queen pothos ,Araceae ,"Perennial, vine ","10 ft long, 3 ft wide (indoors) ",Partial ,"Loamy, moist but well-draining ",Acidic ,"Spring, summer ","Green, white ","11a, 11b, 12a, 12b ",Australia
727,Tagetes spp.,Marigold,Asteraceae,"Herbaceous, annual","4–48 in. tall, 6–24 in. wide",Full,"Evenly moist, well-drained",Slightly acidic to neutral (6.0 to 7.0),Summer,"Yellow, orange, white, red, gold, bicolor",2-11 (USDA); annual in all zones,Southern North America (Mexico)
728,Caltha palustris,,,"Perennial, herb, wildflower","1–3 ft. tall, 1–1.5 ft. wide","Partial, shade","Loamy, moist",Acidic (6.8),Spring,Yellow,3–7 (USDA),North America
729,Alonsoa,Mask Flower,,Annual/Perennial,24-30 inches,Full sun,"Well-drained, light, fertile",6.1-7.8,Summer/Early fall,Red/Orange,9-11,Central/western South America
730,Astrantia,Masterwort,,Perennial,"1-3 feet high, 1-2 feet wide",Part sun ,"Moist, well-drained, acidic, rich in organic matter",5-6,Spring and Summer,"Green, purple, red, white, pink",4-7,Mountainous areas of Central and Southern Europe
731,Pistacia lentiscus,Mastic Tree,Anacardiaceae,Broadleaf Evergreen,"15-25 ft. tall,, 20- 30 ft. wide",Full sun,"Dry, Sandy, Well Draining",Alkaline,Spring,Inconspicuous green,"Zones 9-11, USDA",Mediterranean area
732,Romneya coulteri,"Matilija poppy, fried egg plant, California tree poppy",,Tender perennial ,6 to 10 feet tall ,Full sun ,"Sandy loam, tolerant of all soils ",5 to 8,March to August ,White , USDA 8 to 10,
733,Podophyllum peltatum,,,Herbaceous perennial,"12-18 in. tall, 9-12 in. wide",Part shade to full shade,"Humusy, well-drained soil",4.6-7.0 (acidic to neutral),April,White,3-8 (USDA),"Eastern North America, Southern U.S. to Texas"
734,Thalictrum spp.,Meadow rue,Ranunculaceae,Herbaceous perennial,"1–8 ft. tall, 1–5 ft. wide (varies by species)","Full, partial","Well-drained, rich, humusy",Acidic to alkaline (5.0-8.0); varies by species,"Spring, summer (varies by species)","Light purple or pink, white, yellow (varies by species)",3–7 (varies by species),North Hemisphere
735,Mednilla magnifica,,,Broadleaf evergreen ,2 to 4 feet tall; 1- to 3-foot spread,Part shade,Well-drained potting mix,6.1 to 6.5 (slightly acidic),Sporadically from April to August,Pink to coral red,10 to 11 (USDA),"Phillipines, Java, Malay Peninsula, Sumatra."
736,Chamaerops humilis,,,"Shrub, tree","6–15 ft. tall, 6–20 ft. wide","Full, partial","Loamy, moist, well-drained","Acidic, neutral, alkaline",Spring,Yellow,9–11 (USDA),Mediterranean
737,Melocactus,"Melon cactus, Turk's cap cactus",Cactaceae,Cactus,"Up to 3 ft. tall, 1 ft. wide",Full,"Sandy, well-drained","Acidic, neutral",Summer,"Pink, red","10, 11","Central America, South America"
738,Salvia leucantha,Mexican bush sage,,Perennial,"4 feet tall, 3 feet wide",Full sun,"Fertile, well-drained",4.5-8,Late Summer,"Purple, white, blue",8-11,"Mexico, Central America"
739,Erigeron karvinskianus,"Mexican fleabane, Mexican daisy, seaside daisy",,"Perennial, herbaceous",Up to 2 ft. tall,"Full sun, partial shade",Well-drained,"Acid, neutral, alkaline","Spring, summer, fall",White to pink and purple,"5 - 9, USA",Mexico
740,"Nassella tenuissima (formerly, Stipa tenuissima)","Mexican feather grass, Mexican feathergrass, Mexican wiregrass, pony tails, silky thread grass, Texas tussock",,Perennial ornamental grass,"24 in. tall, with a slightly greater spread",Full sun to partial sun,Loamy,Slightly acidic to slightly alkaline,Mid-summer,"Begins greenish, matures to a golden-brown, fades to a tan ",7-10 (USDA),"South America, Central America, parts of the American Southwest"
741,Echeveria setosa,Mexican firecracker,,"Perennial, evergreen",12 inches tall and 3 inches wide,Full to partial sun,"Sandy, well-draining",Slightly acidic,Late spring,Red and yellow,"9 to 11, USA",Mexico
742,Ratibida columnifera,"Mexican hat, prairie coneflower, thimbleflower",,Perennial,"Up to 3 ft. tall, 18 in. wide",Full,"Loamy, sandy, well-drained","Neutral, alkaline","Spring, summer, fall","Orange, yellow, brown","4 to 9, USDA",North America (Mexico)
743,Cuphea hyssopifolia,"Mexican Heather, Elfin Herb, False Heather, Hawaiian Heather",Lythraceae,Evergreen shrub,"1 to 2 ft. tall, 1 to 4 ft. wide",Full sun to light/part shade,"Loam or Clay (Average, medium, well-drained)",Slightly acidic (5.5 to 7),Summer to frost,,"9b-11, USDA","Central America (Mexico, Guatemala, Honduras)"
744,Tagetes erecta,"African marigold, Mexican marigold, Aztec marigold, American marigold",Asteraceae,Annual,"1–4 ft. tall, 1–2 ft. wide",Full,"Sandy, loamy, well-drained","Acidic, neutral","Summer, fall","Orange, yellow, white",2–11 (USDA),"North America, Central America"
745,Choisya ternata,Mexican orange,,Shrub,6 to 8 feet in height and width,Full sun to partial shade,"Fertile, well-drained",Slightly acidic,Summer,White,7–10,Mexico
746,Ruellia brittoniana  or Ruellia simplex,"Mexican petunia, Mexican bluebell, Britton's petunia ",Acanthaceae,"Perennial, rhizome"," 1-4 ft. tall, 1-3 ft. long, 1-3 ft. wide","Full, partial","Loamy, sandy, moist but well-drained","Acidic, neutral","Summer, fall",Purple,"8-11, USDA","North America, South America, Caribbean"
747,Oenothera speciosa,"Pink evening primrose, pinkladies, Mexican primrose",,Perennial,12 to 18 in. tall and wide ,Full,"Loose, well-draining",Slightly acidic to neutral,"Summer, fall","White, pale pink",4 to 9 (USDA) ,North America
748,Echeveria elegans,"Mexican Gem, Mexican Snowball, White Mexican Rose",,Succulent,"6 to 8 inches tall, 12 inches wide",Full sun,"Sandy, well-drained",Acidic,"Spring, summer","Pink, yellow",,North America
749,Tithonia rotundifolia,"Mexican Sunflower, tree marigold",Asteraceae,"Annual, perennial",3-8 ft. tall,Full,"Sandy, well-drained",Acidic,"Summer, fall","Yellow, orange",9-11 (USDA),"North America, Central America"
750,Citrus x meyeri,Meyer lemon,Rutaceae,Broadleaf evergreen,"6–10 ft. tall, 4–8 ft. wide","Full sun, partial shade","Sandy, well-draining",Neutral to acidic,"Fall, early spring",White,"9–11, USA",China
751, Silybum marianum, Milk thistle,, Biennial, Up to 3 feet," Full sun, Part shade ", All varieties, 6 - 6.5 , Summer, Purple," 5 - 9, USA", Europe
752,Asclepias syriaca,"Milkweed, common milkweed",Apocynaceae/Asclepiadaceae,Herbaceous perennial,2 to 4 ft. tall,Full sun,"Any well-drained soil; tolerates clay soil and poor, dry conditions",4.8 to 7.2,June to August,"Pink, mauve, white",3 to 9 (USDA),Eastern United States
753,Calibrachoa,"Million bells, trailing petunia, mini petunia",,"Herbaceous perennial, annual",3 to 9 inches tall and 6 to 24 inches wide,Full sun,"Rich, moist, well-draining",5.2 to 6,Spring to frost,"Pink, yellow, red, violet, white, blue, magenta, bronze",9 to 11,South American hybrid
754,"Miltonia, Miltoniopsis",Pansy orchid,Orchidaceae,Perennial,12-20 in. tall,Indirect sun to part shade,,,Species specific,"Red, yellow, green, white, brown","11-12, USDA","Brazil, Colombia to Costa Rica"
755,Polyscias fruticosa,Ming aralia,,Evergreen shrub,"6–8 ft. tall, 2–3 ft. wide",Partial shade,"Rich, loamy, well-drained",Acidic,Summer (rarely blooms),"Yellow, white","11, 12 (USDA)",Asia
756, Cyclamen persicum, Mini cyclamen, Primulaceae," Perennial, tuber"," 4-6 in. tall, 4-6 in. wide"," Partial, shade"," Loamy, well-drained"," Acidic, neutral", Winter," Red, pink, white"," 10-11, USA"," Europe, Mediterranean"
757,Rhaphidophora tetrasperma,"Mini monstera, Philodendron/monstera ""Ginny"", Philodendron ""Piccolo"", Monstera minima",Araceae,"Perennial, vine","6-8 ft. tall (indoors), 15-20 ft. tall (outdoors)",Partial,Moist but well-draining,"Acidic, neutral","Spring, summer","Green, white","9b, 10a, 10b, 11a, 11b, 12a, 12b","Africa, Asia"
758,Rosa spp.,"Miniature rose, rose",Rosaceae,Deciduous shrub,"1–2 ft. tall, 1–2 ft. wide",Full sun,Moist but well-drained,Neutral to acidic,"Late spring, summer","Pink, red, yellow, white",5–9 (USDA),None; miniature roses are a cultivated creation
759,Mentha spp.,Mint,Lamiaceae,"Perennial, herb",,"Full, partial","Loamy, moist, well-drained","Acidic, neutral",Summer,,"3–11, USA (depends on species)","North America, Africa, Australia"
760,Rhipsalis spp.,Mistletoe cactus,,llthophytic or epiphytic cacti,1–20 feet (depends on species and age of plant),Part shade to full shade,Porous cactus potting mix with organic matter,5.0 to 6.5 (acidic),Year-round when grown in ideal conditions; varies by species.,White or creamy yellow,9–11 (USDA),"South America, tropical, Africa"
761,Rhipsalis baccifera ,"Mistletoe cactus, chain cactus, spaghetti cactus, Rhipsalis ",Cactaceae ,Succulent ,"6 ft. long, 2 ft. spread (indoors), 30 ft. long, 5 ft. spread (outdoors) ","Partial, shade ",Moist but well-drained ,Acidic,"Spring, summer ","White, green ","9a, 9b, 10a, 10b ","South America, Central America, Africa"
762,Brassica rapa var. japonica (synonym: Brassica rapa nipposinica),"Mizuna kyona, shui cai",,Biennial green,"5 to 7 inches high, 10 to 15 inches wide","Full sun, partial shade","Well-drained, rich soil",Neutral (6.5 to 7.0),Spring (not typically grown for flowers),Yellow,4 to 9,Kansai region of Japan
763,Philadelphus coronarius,"Mock orange, mock orange shrub, sweet mock orange, English dogwood",Hydrangeaceae,Shrub,10–12 ft. tall and wide,"Full, partial","Loamy, moist, well-drained","Acidic, neutral","Spring, summer",White,"4–8, USA",Europe
764,"Potentilla indica, formerly Duchesnea indica, originally Fragaria indica ",,,"Fruit-bearing, deciduous groundcover",2.5 inches tall,Full sun to partial shade,Humus rich,Mildly acidic to mildly alkaline,April to June,Yellow/gold,"5-9, USDA",Asia (Afghanistan to Russian Far East)
765,Plectranthus 'Mona Lavender',"Mona Lavender, 'Mona Lavender' plectranthus, lavender spur flower",Lamiaceae,"Perennial, shrub","1-2 ft. tall, 1–2 ft. wide",Partial,"Rich, well-drained",Acidic,"Fall, winter",Purple,10-11 (USDA),"Cultivar, no native range"
766,Pachira aquatica,"Money tree, Guiana chestnut",,Tree,"20–30 ft. tall, 20-30 ft. wide (smaller indoors)","Full sun, partial shade",Moist but well-drained,Neutral to acidic,Summer (doesn't flower indoors),"Yellow, white",,South America
767,Ophiopogon planiscapus 'Nigrescens',,,Herbaceous perennial,9 to 12 inches tall and wide,Full sun to part shade,"Moist, well-drained",5.5 to 6.5,July to August,Pink,6 to 9,Japan
768,"Liriope spicata (Creeping liriope), Liriope muscari (Big blue lilyturf)",Monkey Puzzle Tree,,Herbaceous perennial,9 to 18 inches tall and wide,Full sun to part shade,"Average, well-drained",6.0 to 7.0,August to September,Lavender,4 to 10 (Creeping liriope); 5 to 10 (Big blue lilyturf),"China, Japan, Southeast Asia"
769,Araucaria Araucana,,Euphorbiaceae,Tree ,"50.00 to 80.00 ft. tall, 20.00 to 30.00 ft. wide",Full Sun,"Semi-rich, evenly moist, well-drained soils",Adaptable,Non-flowering,Non-flowering,,
770,Acalypha hispida,"Chenille flower, monkey tail, red-hot cattail",,"Evergreen, perennial, annual in containers, houseplant",In tropical climates: 8 to 15 feet tall; in containers: 2 to 3 feet tall and 1 foot wide,Full sun,"Sand, clay, loam",5 to 7.5 (neutral),Spring,Red,"9-10, USA",The Philippines and New Guinea
771,Aconitum napellus,"Monkshood, aconite monkshood, wolfsbane",Ranunculaceae,"Herbaceous, perennial","2–5 ft. tall, 1–2 ft. wide ","Full, partial",Moist but well-drained,"Acidic, neutral","Summer, fall","Blue, purple, white, yellow, pink",3–8 (USDA) ,"Europe, Asia"
772,Monstera deliciosa ‘Albo Borsigiana’ ,"Monstera albo, variegated monstera ",Araceae ,Perennial ,"10 ft. tall, 3 ft. wide (indoors) 30 ft. tall, 5 ft. wide (outdoors) ",Partial ,Moist but well-draining ,"Acidic, neutral ","Spring, summer ",Green ,"9-11, USA ",Central America 
773,Monstera dubia,Shingle plant,,Perennial,"3 ft. tall indoors, 10 ft. tall outdoors",Partial sun,"Loamy, moist but well-drained","Acidic, neutral","Spring, summer",Pink,9 to 11,"Central America, South America"
774,Monstera karstenianum ,Monstera Peru ,Araceae ,"Perennial, vine ",6-8 ft. tall ,Partial ,"Loamy, well-draining ","Acidic, neutral ",Summer ,"Green, white ","10b, 11a, 11b, 12a, 12b ",South America
775,Nipponanthemum nipponicum,,Asteraceae,"Perennial, herbaceous",18-36 in. tall and wide,Full,Well-drained,Acidic,"Summer, fall",White,5-9 (USDA),Japan
776,Crocosmia spp.,"Coppertips, montbretia",Iridaceae,Perennial grown from corms,2-3 feet high,Full sun is preferred; partial sun is tolerated,Well-drained,Neutral,Summer,"Red, yellow, orange",6-9,South Africa
777,Pinus radiata,"Monterey pine, insignis pine, radiata pine",Pinaceae,Evergreen tree,,"Full, partial","Sandy, fast-draining",Acidic to neutral (5.5–6.5),Winter,"Yellow, brown, cream (non-showy)",7–10 (USDA),
778,Gymnocalycium mihanovichii,"Moon cactus Ruby ball cactus, ruby red cactus",,Herbaceous perennial,"Varies, depends on rootstock","Partial, shade","Rich, fast-draining cactus mix",Acidic to neutral (5.5–7.0),Varies; usually summer,Yellowish-green (indistinct),11–12 (USDA),South America
779,Ipomoea alba ,"Moonflower, moon vine, tropical white morning glory",Convolvulaceae,"Tender perennial, vine","10–15 ft. tall, 3–6 ft. wide",Full,"Moist, well-drained",6.0—7.5 (slightly acidic to neutral),Summer to fall,White,10–12 (USDA),Tropical Americas
780,Morchella spp.,Morel mushrooms,,Sac fungi (mushroom),,Shade,Well-draining loam,Slightly acidic to neutral (6.8 to 7.0),,,4–9,Forested areas throughout the Northern hemisphere
781,Moringa oleifera,"Moringa plant, moringa tree, miracle tree, horseradish tree, drumstick tree, ben oil tree",Moringaceae,Tree,"25-35 ft. tall, 15-25 ft, wide",Full,"Loamy, sandy, well-drained","Neutral, acidic",Spring,White,10-11 (USDA),Asia
782,Ipomoea purpurea,"Morning glory, common morning glory",Convolvulaceae,Annual,"6–10 ft. tall, 3–6 ft. wide",Full,"Moist, well-drained","Neutral, acidic","Summer, fall","Purple, pink, blue, white",2–11 (USDA),North America
783,Brunfelsia pauciflora,"Yesterday-today-and tomorrow plant, Morning-noon-and-night, Kiss-me-quick, Brazil raintree, Franciscan raintree ",,Perennial shrub,"Three to eight feet height, four to six feet width",Full sun to part shade,"Sandy, silt, loamy",<6.0 (acidic),All season bloom,"Purple, lavender, white",9-11,Brazil
784,Portulaca grandiflora,"Moss rose, moss rose purslane, Mexican rose, sun rose, rock rose",Portulacaceae,Annual flowering succulent,"3–9 in. tall, 6–12 in. wide",Full ,"Sandy, well-drained",Neutral to Acidic,Early summer to frost,"White, orange, yellow, red, pink","2–11, USA",South America
785,Kalanchoe daigremontiana,"Mother of thousands, devil's backbone, alligator plant",,Succulent,3 ft. tall,"Full sun, partial shade",Well-drained,"Acid, neutral, alkaline",Winter,Grayish-pink,9 to 11 (USDA),Africa
786,Leonurus cardiaca,Motherwort,Lamiaceae,"Perennial, Herb","4 ft. tall, 3 ft. wide","Full, Partial, Shade","Loamy, Sandy, Clay, Silt, Moist but Well-drained","Neutral, Alkaline",Summer,"Pink, Purple","3-8, USA","Europe, Asia"
787,Kalmia latifolia,,Ericaceae,Shrub,"5–15 ft. tall, 5–15 ft. wide",Partial,"Moist, well-drained",Acidic,Spring,"Rose, pink, white",4a–9a (USDA),North America
788,Pinus mugo,,,Shrub,"2-5 ft. tall, 3-5 ft. wide","Full, partial",Well-drained,"Acidic, neutral, to alkaline",,,2 to 7 (USDA),
789,Morus spp.,"Mulberry tree, red mulberry, white mulberry",,Deciduous tree,"30–60 ft. tall, 20–40 ft. wide","Full, partial","Rich, moist but well-drained",Mildly acidic to neutral,Spring,Yellowish-green,,
790,Verbascum thapsus ,,Scrophulariaceae ,Herbaceous biennial / biennial forb (a herbaceous flowering plant that’s not a grass) or short-lived perennial,Two to seven feet tall; up to two and a half feet wide,Full sun,"Poor to average, well-drained",Slightly alkaline,Summer,Yellow; flowers after two years,3-9 (USDA),"Europe, northern Africa and Asia"
791,Chrysanthemum spp.,"Garden mum, garden chrysanthemum, hardy chrysanthemum, hardy mum, mum",Asteraceae (Compositae),"Herbaceous, perennial",4 to 36 in. tall and 12 to 36 in. wide (size varies depending on the variety),Full sun,"Moist, well-drained",Neutral to acidic (6.5 to 6.7),"Summer, fall",,,"Asia, Europe"
792,Lavandua angustifolia ‘Munstead’,Munstead lavender,Lamiaceae,"Herbaceous, perennial","1 to 1.5 ft. tall, 1 to 1.5 ft. wide",Full,"Sandy, well-drained",Neutral,Summer,"Blue, lavender, purple",5-9 (USDA),Mediterranean
793,Myrtus communis,,,Evergreen shrub/tree,"3 to 15 ft. tall, 10 ft. wide",Full,Well-draining,Neutral to Acidic (below 8.3),Summer,White,"8, 9, 10, 11 (USDA)",Mediterranean
794,Colchicum autumnale,,,Perennial,6–9 in. tall and wide,"Full, partial","Loamy, well-drained","Acidic, neutral, alkaline",Fall,"Pink, purple, white, yellow",4–8 (USDA),"Europe, Africa, Asia"
795,Brassica rapa Pekinensis,"Chinese cabbage, napa cabbage, Peking cabbage, celery cabbage",Brassicaceae,"Biennial, vegetable",,"Full sun, partial sun","Loamy, sandy, well-drained","Acidic, neutral (6 to 7)","Spring, fall",,4–7 (USDA),Asia
796,Tropaeolum spp.,Nasturtium,Tropaeolaceae,"Annual, perennial","1-10 ft. tall, 1-3 ft. wide",Full,Moist but well-drained,"Acidic, neutral, alkaline","Spring, summer, fall","Red, orange, pink, yellow, white",9 to 11 (USDA),"Central America, South America"
797,Carissa macrocarpa ,Natal plum,,Broadleaf evergreen shrub,,Full sun to part shade,"Sandy, well-drained",Slightly acidic to slightly alkaline (6.1–7.5),,,9–11 (USDA),Natal region of South Africa
798,Yucca filamentosa,,Asparagaceae,"Shrub, rhizome","4-8 ft. tall, 2-3 ft. wide",Full,Well-drained,"Acidic, neutral, alkaline",Summer,White,5-10 (USDA),North America
799,Nemesia spp.,Nemesia,Scrophulariaceae,Annual or short-lived perennial,"8-24 in. tall, wide (varies by species)","Full, partial","Rich, well-drained, sandy",Acidic to neutral (5.5-7.5),Spring to summer,"White, red, pink, blue, orange, bicolors",9 to 11 (USDA); usually grown as annuals,Africa
800,Epipremnum aureum 'Neon' ,Neon pothos ,Araceae ,"Perennial, vine ","10 ft long, 3 ft wide (indoors) ",Partial ,"Loamy, moist but well-drained ",Acidic ,"Spring, summer ","Green, white ","11a, 11b, 12a, 12b ",Australia
801,Celtis laevigata var. reticulata,,Cannabaceae,"Broadleaf, deciduous tree",20 to 30 feet; occasionally taller,Full sun to partial shade,Well-drained,Neutral to alkaline,,,4 to 10 (USDA),"The densest populations are in Kansas, Oklahoma, Texas, New Mexico, and Arizona."
802,Ctenanthe Setosa 'Grey Star',"Never never plant, prayer plant",Marantaceae,"Perennial, evergreen",3 ft. tall and wide,Partial,"Well-drained, moist",Slightly acidic to neutral (6.1 to 7.3),Usually late spring to early summer; houseplants may vary,"White, but insignificant",10-11 (USDA),South America (Brazil)
803,Symphyotrichum novae-angliae,New England aster,Asteraceae,"Herbaceous, perennial","3-6 ft. tall, 2-3 ft. wide",Full,Moist but well-draining,Acidic,Fall,"Pink, purple, white",4-8 (USDA),North America
804,Impatiens hawkeri,New Guinea impatiens,Balsaminaceae,Annual ,,"Full, partial","Moist, but well-drained",Acidic (6.0 to 6.5),"Spring, summer, fall, winter ",,Zones 10-12 (USDA),New Guinea
805,Vernonia noveboracensis,"New York Ironweed, ironweed",Asteraceae,Herbaceous perennial,"4–7 ft. tall, 3–4 ft. wide",Full,"Rich, moist",Acidic (5.0 to 6.5); tolerates neutral soil,Late July to September,Purple,5–9 (USDA),Eastern and Southeastern North America
806,Phormium tenax (P. colensoi is a second parent to some hybrids),New Zealand flax,Asphodelaceae,Herbaceous perennial,"1-6 feet tall, 1-3 feet wide",Full sun to partial shade,Well-drained soil,Acidic,,,9-11 (USDA),Australia
807,Nigella damascena,"Love-in-a-mist, nigella",Ranunculaceae,Annual,"8–20 in. tall, 3–6 in. wide","Full, partial",Well-drained,"Acidic, neutral, alkaline","Spring, summer, fall","Blue, purple, pink, white",2-11 (USDA),"Europe, Africa, Asia"
808,Cestrum nocturnum,"Night-blooming jasmine, The lady of the night, poisonberry",Solanaceae,"Shrub, Evergreen",6-15 ft. tall,"Full sun, Partial shade","Moist, Well-drained","Acidic, Neutral","Spring, Summer","Green, White, Yellow / Golden","8-11, USA","South America, West Indies"
809,Physocarpus opulifolius,"Common ninebark, ninebark, eastern ninebark",,Shrub,"3-10 ft tall,  3-8 ft wide","Full, partial","Clay, loamy",Neutral,"Spring, summer","Pink, white",2-8 (USDA),North America
810, Abies procera,, Pinaceae, Tree," 50 to 100 ft. tall, 30 ft. wide"," Full sun, part shade"," Loamy, sandy, clay, silt, moist, well-drained", Acidic (5.0 to 6.5),,," 5-6, USA", North America
811,Araucaria heterophylla,"Norfolk pine, Norfolk Island pine, Australian pine",Araucariaceae,Needled evergreen conifer,Up to 200 ft. tall in the wild; 3 to 8 ft. tall indoors  ,Full sun; can tolerate shade,"Sandy, peaty soil; peat-based potting mix",4.5-5.5 (acidic),,,"10-11, USDA (grown as a houseplant elsewhere)",Norfolk Island in the Pacific
812,Chasmanthium latifolium,,Poaceae,Herbaceous perennial,2 to 3 ft. tall and wide,Full sun to partial sun; will survive in partial shade,"Well-drained loam adequately irrigated, with good fertility",Neutral to slightly acidic,Late summer,Green,,
813,Picea abies,Norway Spruce,Pinaceae,Tree,"50-75 ft. tall, 30-50 ft. wide","Full, Partial",Moist and well-drained,Acidic,Spring,Pink,"2, 3, 4, 5, 6, 7",Europe
814,Plumeria alba,"White Frangipani, White Plumeria",Apocynaceae,Tree,"20-25 ft. tall, 20-25 ft. wide","Full, partial","Loamy, sandy, well-drained","Acidic, neutral","Summer, fall","White, yellow","10-11, USDA",Puerto Rico and the Lesser Antilles
815,Myristica fragrans,Nutmeg Tree,,Evergreen tree,20-60 ft. tall,Full Sun to Partial Shade,"Rich, medium textured, well-draining",5.5-7,Late Spring,Pale yellow,USDA zones 10-11,"Spice Islands, South Pacific"
816,"Phoradendron spp., Viscum spp., Arceuthobium spp.",Mistletoe,Santalaceae,Parasitic broadleaf evergreen perennial,Up to 3 ft. across,"Partial, full shade",N/A; parasitic plant that depend on host tree,,Late winter to early spring,"Whitish, non-showy",5–9 (USDA),"North America, Europe, Asia"
817,Hydrangea quercifolia,Oakleaf hydrangea,Hydrangeaceae,Shrub,"4-8 ft. tall, 4-8 ft. wide","Full, partial","Moist, well-drained",Acidic,"Spring, summer","White, pink",5-9 (USDA),North America
818,Abelmoschus esculentus,,,"Annual, vegetable","6-8 ft. tall, 3 ft. and wide",Full sun,"Moist, fertile, well-drained",Acidic (6.0 to 6.8),Seasonal,"Yellow, white",2–11 (USDA),"Africa, Asia"
819,Artemisia abrotanum,,,"Perennial, herbaceous","3–4 ft. tall, 2–3 ft. wide",Full,"Loamy, sandy, clay, well-drained","Acidic, neutral, alkaline","Late summer, early fall",Yellowish-white,4–8 (USDA),"Europe, Asia, Africa"
820,Nerium oleander ,"Oleander, Nerium, Jericho rose, rose laurel",Apocynaceae,Broadleaf evergreen,Height: up to 19 ft; width: up to 10 ft,Full sun to part shade,"Fertile, adaptable",Alkaline,"Spring to summer, sometimes early fall and year-round in warmer climates","Pure white through pale-yellow, peach, salmon and pink to deep burgundy red","8-10, USDA",Southern Asia and the Mediterranean
821,Juniperus monosperma ,One Seed Juniper,,"Tree, Shrub",12-35 ft. tall,Full Sun to Part Shade,"Sandy, Gravelly, Loose Rock",Neutral,No Bloom,No flower but shows blue to purple berry like cones.,5-9,
822,Allium cepa,Onion,Amaryllidaceae,"Biennial, vegetable",,Full sun,"Loamy, well-drained",Neutral,Summer,,5–10 (USDA),Asia
823,Hemerocallis fulva,"Orange daylily, common daylily, tawny daylily",Asphodelaceae,Perennial,"2–2.5 ft. tall, 2–2.5 ft. wide",Full,"Moist, well-drained","Acidic, neutral",Summer,Orange,3–9 (USDA),Asia
